Date;Open;High;Low;Close;Adj Close;Volume
15/05/1997;2.437.500;2.500.000;1.927.083;1.958.333;1.958.333;72156000
16/05/1997;1.968.750;1.979.167;1.708.333;1.729.167;1.729.167;14700000
19/05/1997;1.760.417;1.770.833;1.625.000;1.708.333;1.708.333;6106800
20/05/1997;1.729.167;1.750.000;1.635.417;1.635.417;1.635.417;5467200
21/05/1997;1.635.417;1.645.833;1.375.000;1.427.083;1.427.083;18853200
22/05/1997;1.437.500;1.447.917;1.312.500;1.395.833;1.395.833;11776800
23/05/1997;1.406.250;1.520.833;1.333.333;1.500.000;1.500.000;15937200
27/05/1997;1.510.417;1.645.833;1.458.333;1.583.333;1.583.333;8697600
28/05/1997;1.625.000;1.635.417;1.531.250;1.531.250;1.531.250;4574400
29/05/1997;1.541.667;1.541.667;1.479.167;1.505.208;1.505.208;3472800
30/05/1997;1.500.000;1.510.417;1.479.167;1.500.000;1.500.000;2594400
02/06/1997;1.510.417;1.531.250;1.500.000;1.510.417;1.510.417;591600
03/06/1997;1.531.250;1.531.250;1.479.167;1.479.167;1.479.167;1183200
04/06/1997;1.479.167;1.489.583;1.395.833;1.416.667;1.416.667;3080400
05/06/1997;1.416.667;1.541.667;1.375.000;1.541.667;1.541.667;5672400
06/06/1997;1.515.625;1.708.333;1.510.417;1.656.250;1.656.250;7807200
09/06/1997;1.656.250;1.708.333;1.656.250;1.687.500;1.687.500;2352000
10/06/1997;1.708.333;1.708.333;1.531.250;1.583.333;1.583.333;5458800
11/06/1997;1.593.750;1.604.167;1.531.250;1.541.667;1.541.667;1188000
12/06/1997;1.583.333;1.645.833;1.552.083;1.604.167;1.604.167;1632000
13/06/1997;1.625.000;1.625.000;1.583.333;1.583.333;1.583.333;693600
16/06/1997;1.604.167;1.604.167;1.562.500;1.572.917;1.572.917;913200
17/06/1997;1.598.958;1.598.958;1.494.792;1.505.208;1.505.208;4706400
18/06/1997;1.520.833;1.536.458;1.500.000;1.510.417;1.510.417;2464800
19/06/1997;1.510.417;1.531.250;1.500.000;1.510.417;1.510.417;1003200
20/06/1997;1.531.250;1.552.083;1.500.000;1.526.042;1.526.042;3387600
23/06/1997;1.541.667;1.541.667;1.479.167;1.500.000;1.500.000;1047600
24/06/1997;1.505.208;1.526.042;1.479.167;1.510.417;1.510.417;751200
25/06/1997;1.526.042;1.526.042;1.489.583;1.510.417;1.510.417;2106000
26/06/1997;1.520.833;1.520.833;1.505.208;1.510.417;1.510.417;3189600
27/06/1997;1.515.625;1.515.625;1.479.167;1.489.583;1.489.583;1188000
30/06/1997;1.510.417;1.598.958;1.479.167;1.541.667;1.541.667;2746800
01/07/1997;1.541.667;1.541.667;1.510.417;1.515.625;1.515.625;1292400
02/07/1997;1.515.625;1.593.750;1.510.417;1.588.542;1.588.542;3882000
03/07/1997;1.598.958;1.916.667;1.593.750;1.911.458;1.911.458;12577200
07/07/1997;1.833.333;2.020.833;1.833.333;2.000.000;2.000.000;8053200
08/07/1997;2.041.667;2.333.333;2.041.667;2.302.083;2.302.083;15517200
09/07/1997;2.302.083;2.385.417;2.270.833;2.322.917;2.322.917;8262000
10/07/1997;2.333.333;2.572.917;2.333.333;2.562.500;2.562.500;9051600
11/07/1997;2.520.833;2.520.833;2.208.333;2.291.667;2.291.667;10531200
14/07/1997;2.322.917;2.333.333;2.114.583;2.135.417;2.135.417;4604400
15/07/1997;2.135.417;2.479.167;2.135.417;2.437.500;2.437.500;9274800
16/07/1997;2.447.917;2.494.792;2.302.083;2.333.333;2.333.333;3024000
17/07/1997;2.343.750;2.343.750;2.156.250;2.218.750;2.218.750;3169200
18/07/1997;2.187.500;2.218.750;2.156.250;2.156.250;2.156.250;780000
21/07/1997;2.177.083;2.197.917;2.145.833;2.182.292;2.182.292;574800
22/07/1997;2.166.667;2.187.500;2.062.500;2.135.417;2.135.417;1563600
23/07/1997;2.187.500;2.333.333;2.177.083;2.291.667;2.291.667;3259200
24/07/1997;2.302.083;2.312.500;2.218.750;2.260.417;2.260.417;1216800
25/07/1997;2.218.750;2.250.000;2.218.750;2.229.167;2.229.167;620400
28/07/1997;2.229.167;2.395.833;2.218.750;2.322.917;2.322.917;2574000
29/07/1997;2.364.583;2.500.000;2.333.333;2.479.167;2.479.167;4814400
30/07/1997;2.500.000;2.505.208;2.427.083;2.447.917;2.447.917;2517600
31/07/1997;2.437.500;2.437.500;2.333.333;2.395.833;2.395.833;1454400
01/08/1997;2.343.750;2.416.667;2.250.000;2.416.667;2.416.667;3588000
04/08/1997;2.375.000;2.411.458;2.302.083;2.312.500;2.312.500;2671200
05/08/1997;2.333.333;2.333.333;2.145.833;2.208.333;2.208.333;3032400
06/08/1997;2.208.333;2.312.500;2.187.500;2.250.000;2.250.000;1243200
07/08/1997;2.250.000;2.260.417;2.125.000;2.177.083;2.177.083;2034000
08/08/1997;2.166.667;2.302.083;2.104.167;2.291.667;2.291.667;2211600
11/08/1997;2.291.667;2.333.333;2.250.000;2.328.125;2.328.125;1239600
12/08/1997;2.281.250;2.302.083;2.197.917;2.197.917;2.197.917;571200
13/08/1997;2.229.167;2.229.167;2.166.667;2.197.917;2.197.917;590400
14/08/1997;2.177.083;2.250.000;2.119.792;2.156.250;2.156.250;1041600
15/08/1997;2.135.417;2.156.250;1.937.500;2.114.583;2.114.583;1597200
18/08/1997;2.052.083;2.052.083;1.968.750;2.041.667;2.041.667;1784400
19/08/1997;2.093.750;2.208.333;2.052.083;2.166.667;2.166.667;1003200
20/08/1997;2.187.500;2.187.500;2.072.917;2.166.667;2.166.667;999600
21/08/1997;2.135.417;2.171.875;2.072.917;2.114.583;2.114.583;624000
22/08/1997;2.104.167;2.125.000;2.093.750;2.125.000;2.125.000;712800
25/08/1997;2.104.167;2.260.417;2.104.167;2.218.750;2.218.750;1126800
26/08/1997;2.239.583;2.354.167;2.229.167;2.343.750;2.343.750;2574000
27/08/1997;2.307.292;2.322.917;2.250.000;2.317.708;2.317.708;1392000
28/08/1997;2.302.083;2.395.833;2.281.250;2.375.000;2.375.000;1147200
29/08/1997;2.364.583;2.375.000;2.322.917;2.338.542;2.338.542;722400
02/09/1997;2.343.750;2.375.000;2.333.333;2.354.167;2.354.167;732000
03/09/1997;2.343.750;2.416.667;2.312.500;2.333.333;2.333.333;1964400
04/09/1997;2.364.583;2.552.083;2.343.750;2.552.083;2.552.083;3348000
05/09/1997;2.583.333;2.666.667;2.458.333;2.500.000;2.500.000;1908000
08/09/1997;2.531.250;3.020.833;2.500.000;3.000.000;3.000.000;5648400
09/09/1997;3.140.625;3.385.417;3.026.042;3.239.583;3.239.583;8971200
10/09/1997;3.312.500;3.328.125;3.125.000;3.302.083;3.302.083;3866400
11/09/1997;3.333.333;3.333.333;3.041.667;3.156.250;3.156.250;4262400
12/09/1997;3.187.500;3.697.917;3.156.250;3.687.500;3.687.500;3333600
15/09/1997;3.666.667;3.677.083;3.052.083;3.093.750;3.093.750;5583600
16/09/1997;3.125.000;3.541.667;3.119.792;3.354.167;3.354.167;6432000
17/09/1997;3.458.333;3.500.000;3.333.333;3.406.250;3.406.250;2607600
18/09/1997;3.437.500;3.468.750;3.281.250;3.291.667;3.291.667;2128800
19/09/1997;3.380.208;4.083.333;3.375.000;3.947.917;3.947.917;8929200
22/09/1997;4.000.000;4.677.083;3.947.917;4.500.000;4.500.000;16938000
23/09/1997;4.489.583;4.645.833;4.395.833;4.625.000;4.625.000;7682400
24/09/1997;4.645.833;4.812.500;4.291.667;4.375.000;4.375.000;8200800
25/09/1997;4.343.750;4.354.167;4.052.083;4.078.125;4.078.125;4968000
26/09/1997;4.072.917;4.260.417;4.052.083;4.166.667;4.166.667;2731200
29/09/1997;4.145.833;4.187.500;3.958.333;4.041.667;4.041.667;2371200
30/09/1997;4.000.000;4.348.958;3.802.083;4.338.542;4.338.542;5254800
01/10/1997;4.437.500;4.500.000;3.937.500;4.020.833;4.020.833;4999200
02/10/1997;4.041.667;4.177.083;3.989.583;4.010.417;4.010.417;1876800
03/10/1997;4.083.333;4.125.000;3.979.167;4.015.625;4.015.625;1164000
06/10/1997;4.000.000;4.125.000;3.942.708;4.125.000;4.125.000;2028000
07/10/1997;4.083.333;4.187.500;4.041.667;4.057.292;4.057.292;1742400
08/10/1997;4.145.833;4.166.667;3.984.375;4.005.208;4.005.208;2806800
09/10/1997;4.000.000;4.020.833;3.739.583;3.750.000;3.750.000;3950400
10/10/1997;3.729.167;4.062.500;3.666.667;3.901.042;3.901.042;3787200
13/10/1997;3.927.083;4.041.667;3.927.083;4.000.000;4.000.000;814800
14/10/1997;4.062.500;4.104.167;3.833.333;3.979.167;3.979.167;1546800
15/10/1997;3.968.750;3.968.750;3.770.833;3.921.875;3.921.875;2355600
16/10/1997;3.979.167;3.979.167;3.604.167;3.625.000;3.625.000;3481200
17/10/1997;3.614.583;3.656.250;3.520.833;3.625.000;3.625.000;2534400
20/10/1997;3.677.083;3.875.000;3.666.667;3.822.917;3.822.917;4912800
21/10/1997;3.958.333;4.437.500;3.854.167;4.427.083;4.427.083;12096000
22/10/1997;4.416.667;4.619.792;4.375.000;4.520.833;4.520.833;5208000
23/10/1997;4.229.167;4.562.500;4.187.500;4.500.000;4.500.000;5656800
24/10/1997;4.750.000;5.062.500;4.541.667;5.026.042;5.026.042;9492000
27/10/1997;4.802.083;5.010.417;4.229.167;4.270.833;4.270.833;6091200
28/10/1997;3.916.667;5.000.000;3.875.000;4.947.917;4.947.917;11719200
29/10/1997;5.145.833;5.500.000;5.000.000;5.390.625;5.390.625;7126800
30/10/1997;5.208.333;5.354.167;5.041.667;5.125.000;5.125.000;4770000
31/10/1997;5.364.583;5.458.333;4.968.750;5.083.333;5.083.333;5026800
03/11/1997;5.218.750;5.218.750;4.947.917;5.072.917;5.072.917;1999200
04/11/1997;5.000.000;5.052.083;4.822.917;4.958.333;4.958.333;2365200
05/11/1997;4.979.167;5.119.792;4.875.000;4.875.000;4.875.000;3093600
06/11/1997;4.916.667;4.916.667;4.635.417;4.661.458;4.661.458;2913600
07/11/1997;4.416.667;4.640.625;4.385.417;4.479.167;4.479.167;2626800
10/11/1997;4.500.000;4.562.500;4.208.333;4.208.333;4.208.333;2764800
11/11/1997;4.244.792;4.312.500;3.916.667;3.947.917;3.947.917;4312800
12/11/1997;3.776.042;4.187.500;3.666.667;3.770.833;3.770.833;8683200
13/11/1997;3.947.917;3.968.750;3.770.833;3.859.375;3.859.375;4290000
14/11/1997;3.937.500;4.208.333;3.781.250;4.166.667;4.166.667;5869200
17/11/1997;4.229.167;4.541.667;4.218.750;4.375.000;4.375.000;7394400
18/11/1997;4.375.000;4.479.167;4.343.750;4.416.667;4.416.667;1866000
19/11/1997;4.406.250;4.520.833;4.312.500;4.510.417;4.510.417;2534400
20/11/1997;4.572.917;4.604.167;4.510.417;4.583.333;4.583.333;5923200
21/11/1997;4.552.083;4.583.333;4.489.583;4.489.583;4.489.583;2602800
24/11/1997;4.375.000;4.416.667;4.229.167;4.229.167;4.229.167;2019600
25/11/1997;4.239.583;4.333.333;4.041.667;4.203.125;4.203.125;3304800
26/11/1997;4.239.583;4.411.458;4.239.583;4.260.417;4.260.417;1630800
28/11/1997;4.270.833;4.333.333;4.114.583;4.125.000;4.125.000;1603200
01/12/1997;4.239.583;4.375.000;4.135.417;4.270.833;4.270.833;2383200
02/12/1997;4.260.417;4.302.083;4.177.083;4.234.375;4.234.375;1262400
03/12/1997;4.197.917;4.375.000;4.187.500;4.364.583;4.364.583;1290000
04/12/1997;4.401.042;4.552.083;4.385.417;4.500.000;4.500.000;3038400
05/12/1997;4.437.500;4.593.750;4.354.167;4.593.750;4.593.750;2661600
08/12/1997;4.541.667;4.770.833;4.520.833;4.708.333;4.708.333;4766400
09/12/1997;4.666.667;4.770.833;4.604.167;4.687.500;4.687.500;1332000
10/12/1997;4.583.333;4.625.000;4.395.833;4.510.417;4.510.417;1444800
11/12/1997;4.395.833;4.833.333;4.395.833;4.687.500;4.687.500;5014800
12/12/1997;4.645.833;4.802.083;4.406.250;4.541.667;4.541.667;2672400
15/12/1997;4.583.333;4.666.667;4.406.250;4.583.333;4.583.333;1694400
16/12/1997;4.645.833;4.645.833;4.458.333;4.458.333;4.458.333;1687200
17/12/1997;4.375.000;4.458.333;4.255.208;4.390.625;4.390.625;6140400
18/12/1997;4.354.167;4.427.083;4.229.167;4.291.667;4.291.667;3204000
19/12/1997;4.229.167;4.520.833;4.166.667;4.500.000;4.500.000;4753200
22/12/1997;4.500.000;4.781.250;4.432.292;4.697.917;4.697.917;4352400
23/12/1997;4.687.500;4.739.583;4.625.000;4.625.000;4.625.000;1177200
24/12/1997;4.625.000;4.708.333;4.468.750;4.604.167;4.604.167;2336400
26/12/1997;4.562.500;4.645.833;4.489.583;4.520.833;4.520.833;487200
